,iou,month_year,constant,size_comp,size_conc,gen_q_comp,gen_q_conc,inv_q_comp,inv_q_conc,q_comp,q_conc
0,sdge,2009-12-01,1,3740.9501,3740.9501,6948.0,6948.0,242.0,242.0,7190.0,7190.0
1,sdge,2010-01-01,1,1153.8453,1153.8453,1890.0,1890.0,167.0,167.0,2057.0,2057.0
2,sdge,2010-02-01,1,1303.5539,1303.5539,2237.0,2237.0,161.0,161.0,2398.0,2398.0
3,sdge,2010-03-01,1,2865.5551,2865.5551,6690.0,6690.0,198.0,198.0,6888.0,6888.0
4,sdge,2010-04-01,1,1326.2663,1326.2663,3756.0,3756.0,190.0,190.0,3946.0,3946.0
5,sdge,2010-05-01,1,1508.1639,1508.1639,1883.0,1883.0,253.0,253.0,2136.0,2136.0
6,sdge,2010-06-01,1,1684.4555,1684.4555,4750.0,4750.0,196.0,196.0,4946.0,4946.0
7,sdge,2011-07-01,1,2139.5933000000005,2140.8593,8616.0,8622.0,141.0,141.0,8757.0,8763.0
8,sdge,2010-07-01,1,1994.7649,1994.7649,5686.0,5686.0,145.0,145.0,5831.0,5831.0
9,sdge,2010-08-01,1,2463.8098,2463.8098,5202.0,5202.0,200.0,200.0,5402.0,5402.0
10,sdge,2010-09-01,1,3365.8829000000005,3365.8829000000005,17772.0,17772.0,214.0,214.0,17986.0,17986.0
11,sdge,2010-10-01,1,1804.8887,1804.8887,4528.0,4528.0,205.0,205.0,4733.0,4733.0
12,sdge,2010-11-01,1,3641.0742,3641.0742,8519.0,8519.0,310.0,310.0,8829.0,8829.0
13,sdge,2010-12-01,1,2710.0912,2710.0912,4501.0,4501.0,471.0,471.0,4972.0,4972.0
14,sdge,2011-01-01,1,1711.7102,1711.7102,5038.0,5038.0,181.0,181.0,5219.0,5219.0
15,sdge,2011-02-01,1,1938.1641,1938.1641,6433.0,6433.0,218.0,218.0,6651.0,6651.0
16,sdge,2011-03-01,1,2177.4171,2177.4171,4163.0,4163.0,311.0,311.0,4474.0,4474.0
17,sdge,2011-04-01,1,4100.145,4100.145,7608.0,7608.0,327.0,327.0,7935.0,7935.0
18,sdge,2011-05-01,1,2473.974,2473.974,6510.0,6510.0,252.0,252.0,6762.0,6762.0
19,sdge,2011-06-01,1,1945.7413,1947.0072999999998,7181.0,7187.0,281.0,281.0,7462.0,7468.0
20,sdge,2013-07-01,1,1.266,1.266,6.0,6.0,,,,
21,sdge,2011-08-01,1,2827.0962,2828.3622,11343.0,11349.0,210.0,210.0,11553.0,11559.0
22,sdge,2011-09-01,1,4354.7547,4356.0207,16688.0,16694.0,220.0,220.0,16908.0,16914.0
23,sdge,2011-10-01,1,3955.1261000000004,3956.3921000000005,9016.0,9022.0,159.0,159.0,9175.0,9181.0
24,sdge,2011-11-01,1,2012.2300999999998,2013.4960999999998,7765.0,7771.0,141.0,141.0,7906.0,7912.0
25,sdge,2011-12-01,1,2904.3607,2905.6267,8397.0,8403.0,150.0,150.0,8547.0,8553.0
